date,mean winter bottom temperature
1995,5.01
1996,5.12
1997,4.2
1998,5.83
1999,4.56
2000,4.95
2001,5.93
2002,4.16
2003,5.1
2004,5.5
2005,5.42
2006,4.52
2007,6.52
2008,5.08
2009,4.04
2010,4.55
2011,4.68
2012,5.01
2013,5.11
2014,5.82
2015,6.07
2016,5.82
2017,4.45
2018,5.69
2019,5.93
2020,6.25
2021,5.42
2022,5.83
2023,6.3
