date,mean late summer Secchi depth
1996,2.7
1997,2.58
1998,4.1
1999,4.54
2000,2.43
2001,2.22
2002,3.28
2003,2.88
2004,3.37
2005,3.27
2006,2.93
2007,3.75
2008,4.21
2009,3.78
2010,3.11
2011,4.81
2012,4.91
2013,4.05
2014,2.77
2015,4.01
2016,3.34
2017,3.79
2018,3.53
2019,4.74
2020,4.36
2021,3.64
2022,4.61
2023,7.02
