date,mean winter epilimnion 0-5 m oxygen concentration
1995,10.98
1996,10.81
1997,11.59
1998,11.36
1999,11.73
2000,11.62
2001,10.64
2002,12.0
2003,11.49
2004,10.72
2005,11.14
2006,11.55
2007,10.8
2008,11.85
2009,11.83
2010,10.41
2011,11.34
2012,11.26
2013,11.22
2014,10.61
2015,10.74
2016,10.45
2017,11.87
2018,11.67
2019,10.96
2020,11.05
2021,11.19
2022,11.51
2023,11.02
