date,mean late autumn Schmidt stability
1994,1789.98
1995,1466.55
1996,1244.75
1997,1186.68
1998,899.48
1999,1790.1
2000,1616.66
2001,1128.44
2002,1081.34
2003,852.29
2004,1854.66
2005,2304.88
2006,2205.55
2007,1063.18
2008,1429.04
2009,1839.19
2010,1525.49
2011,2085.46
2012,1467.94
2013,1432.74
2014,2553.89
2015,2316.47
2016,1797.72
2017,1978.29
2018,2066.51
2019,1927.36
2020,1572.71
2021,1644.19
2022,2473.46
2023,1831.42
