date,mean spring surface temperature
1994,8.05
1995,8.48
1996,9.67
1997,8.39
1998,8.39
1999,7.42
2000,8.77
2001,7.99
2002,8.86
2003,9.01
2004,7.6
2005,7.46
2006,8.27
2007,11.57
2008,7.89
2009,10.18
2010,7.74
2011,12.3
2012,9.41
2013,10.5
2014,10.17
2015,8.47
2016,10.07
2017,12.69
2018,9.19
2019,9.23
2020,10.15
2021,8.0
2022,10.28
2023,8.7
