date,mean spring epilimnion 0-10 m oxygen concentration
1994,11.42
1995,11.44
1996,11.13
1997,12.01
1998,12.13
1999,12.04
2000,11.84
2001,11.64
2002,12.07
2003,11.79
2004,11.47
2005,11.58
2006,12.24
2007,11.48
2008,11.77
2009,12.02
2010,11.48
2011,12.17
2012,11.27
2013,12.03
2014,11.06
2015,11.85
2016,11.7
2017,12.35
2018,12.0
2019,11.61
2020,11.96
2021,11.66
2022,11.92
2023,11.89
