date,mean autumn hypolimnetic density
2000,1000.1455
2001,1000.0893
2002,1000.1181
2003,1000.1632
2004,1000.1326
2005,1000.1778
2006,1000.1745
2007,1000.1111
2008,1000.1462
2009,1000.1948
2010,1000.1803
2011,1000.2029
2012,1000.1561
2013,1000.1831
2014,1000.1553
2015,1000.1411
2016,1000.1458
2017,1000.1651
2018,1000.175
2019,1000.087
2020,1000.1212
2021,1000.1148
2022,1000.1418
2023,1000.1163
