date,mean annual Secchi depth
1997,4.08
1998,4.31
1999,3.68
2000,4.36
2001,3.6
2002,3.79
2003,4.27
2004,4.54
2005,4.57
2006,3.81
2007,4.3
2008,4.66
2009,4.71
2010,3.89
2011,4.92
2012,3.92
2013,3.81
2014,4.16
2015,4.22
2016,4.6
2017,4.9
2018,4.18
2020,6.04
2022,5.66
2023,5.62
