date,mean spring Secchi depth
1996,3.06
1997,4.61
1998,4.48
1999,3.5
2000,3.96
2001,2.88
2002,3.71
2003,4.75
2004,4.85
2005,4.18
2006,1.76
2007,5.01
2008,3.0
2009,3.05
2010,3.94
2011,3.97
2012,3.75
2013,2.2
2014,4.93
2015,3.22
2016,5.04
2017,4.37
2018,2.95
2020,6.47
2021,6.78
2022,4.56
2023,6.59
