date,mean spring Schmidt stability
1994,251.28
1995,613.42
1996,712.5
1997,485.02
1998,443.12
1999,392.64
2000,561.03
2001,319.07
2002,615.07
2003,618.26
2004,346.33
2005,396.69
2006,455.25
2007,1030.88
2008,395.98
2009,871.9
2010,410.14
2011,1426.02
2012,965.19
2013,530.03
2014,882.92
2015,603.97
2016,864.33
2017,1501.29
2018,940.27
2019,579.41
2020,796.83
2021,557.26
2022,716.86
2023,775.73
