date,mean winter bottom oxygen concentration
1995,11.04
1996,10.76
1997,11.19
1998,11.32
1999,11.72
2000,11.46
2001,10.81
2002,11.68
2003,11.24
2004,10.71
2005,10.8
2006,11.44
2007,10.53
2008,11.74
2009,11.68
2010,10.62
2011,10.74
2012,11.11
2013,11.2
2014,10.67
2015,10.79
2016,10.71
2017,11.87
2018,11.91
2019,11.01
2020,11.08
2021,11.4
2022,11.57
2023,11.08
