date,mean autumn bottom oxygen concentration
1993,1.2
1994,1.48
1995,0.79
1996,1.03
1997,0.26
1998,1.35
1999,2.28
2000,1.33
2001,1.28
2002,1.98
2003,3.1
2004,2.62
2005,2.73
2006,3.84
2007,1.6
2008,3.01
2009,3.08
2010,3.48
2011,3.11
2012,3.85
2013,3.81
2014,2.51
2015,2.62
2016,2.35
2017,3.32
2018,4.37
2019,3.21
2020,3.53
2021,4.61
2022,4.37
2023,5.23
