date,mean annual surface conductivity
2000,320.86
2001,325.92
2002,325.09
2003,315.8
2004,322.44
2005,324.02
2006,329.14
2007,333.39
2008,327.64
2009,324.68
2010,330.68
2011,323.71
2012,323.05
2013,335.85
2014,342.29
2015,331.98
2016,333.53
2017,325.54
2018,311.79
2019,320.94
2020,326.72
2021,342.24
2022,325.93
2023,325.37
