date,mean winter surface oxygen concentration
1995,10.98
1996,10.81
1997,11.5
1998,11.35
1999,11.64
2000,11.62
2001,10.64
2002,11.98
2003,11.49
2004,10.72
2005,11.16
2006,11.54
2007,10.8
2008,11.81
2009,11.83
2010,10.41
2011,11.33
2012,11.26
2013,11.25
2014,10.59
2015,10.73
2016,10.43
2017,11.86
2018,11.67
2019,10.91
2020,11.05
2021,11.19
2022,11.51
2023,11.01
