date,mean winter hypolimnetic density
2000,1000.206
2001,1000.1773
2002,1000.2097
2003,1000.199
2004,1000.1821
2005,1000.1847
2006,1000.21
2007,1000.1561
2008,1000.2031
2009,1000.2219
2010,1000.2092
2011,1000.2114
2012,1000.1944
2013,1000.2095
2014,1000.1959
2015,1000.1764
2016,1000.17
2017,1000.2121
2018,1000.1798
2019,1000.1665
2020,1000.1628
2021,1000.1927
2022,1000.1807
2023,1000.1639
