date,minimum bottom oxygen concentration
1994,0.12
1995,0.0
1996,0.66
1997,0.14
1998,0.96
1999,2.02
2000,1.02
2001,1.24
2002,1.62
2003,2.72
2004,2.45
2005,1.58
2006,2.54
2007,1.38
2008,2.22
2009,2.23
2010,3.1
2011,1.6
2012,3.4
2013,3.43
2014,1.6
2015,0.7
2016,1.91
2017,3.04
2018,3.91
2019,2.06
2020,2.36
2021,4.27
2022,2.61
2023,5.17
