date,mean autumn surface oxygen concentration
1993,11.2
1994,9.0
1995,9.25
1996,9.61
1997,9.45
1998,9.39
1999,9.31
2000,9.34
2001,9.74
2002,9.43
2003,9.01
2004,8.77
2005,10.19
2006,9.12
2007,9.47
2008,9.96
2009,8.87
2010,9.17
2011,9.48
2012,9.19
2013,9.0
2014,8.98
2015,9.1
2016,8.85
2017,9.05
2018,8.82
2019,8.83
2020,9.11
2021,9.3
2022,9.37
2023,9.37
