date,mean spring surface oxygen concentration
1994,11.45
1995,11.49
1996,11.19
1997,11.94
1998,12.2
1999,11.98
2000,11.83
2001,11.68
2002,12.09
2003,11.78
2004,11.48
2005,11.65
2006,12.08
2007,11.53
2008,11.73
2009,11.93
2010,11.54
2011,12.22
2012,11.21
2013,11.66
2014,10.97
2015,11.91
2016,11.71
2017,12.28
2018,11.96
2019,11.47
2020,11.99
2021,11.66
2022,11.78
2023,11.89
