date,mean summer Secchi depth
1996,2.38
1997,1.9
1998,3.71
1999,4.57
2000,2.83
2001,2.29
2002,2.47
2003,3.17
2004,3.5
2005,3.72
2006,1.92
2007,1.77
2008,4.05
2009,2.5
2010,3.01
2011,3.3
2012,3.1
2013,3.74
2014,1.38
2015,4.07
2016,3.55
2017,3.58
2018,4.07
2019,5.18
2020,3.31
2021,3.08
2022,4.61
2023,7.83
