date,mean summer epilimnion 5-10 m oxygen concentration
1994,8.65
1995,9.6
1996,9.88
1997,9.79
1998,9.67
1999,9.77
2000,9.78
2001,9.62
2002,9.55
2003,8.52
2004,9.32
2005,8.98
2006,9.03
2007,9.8
2008,9.02
2009,9.04
2010,9.38
2011,10.07
2012,8.84
2013,9.91
2014,9.49
2015,9.25
2016,9.87
2017,8.79
2018,9.2
2019,9.03
2020,9.18
2021,10.08
2022,9.56
2023,9.91
