date,mean summer surface oxygen concentration
1994,9.52
1995,9.55
1996,9.84
1997,10.17
1998,9.55
1999,9.74
2000,10.53
2001,11.06
2002,10.16
2003,9.57
2004,9.86
2005,9.21
2006,9.8
2007,10.03
2008,9.24
2009,9.91
2010,9.65
2011,10.37
2012,9.0
2013,9.41
2014,9.9
2015,9.29
2016,10.3
2017,9.43
2018,9.34
2019,9.08
2020,9.71
2021,10.58
2022,9.63
2023,9.97
