date,mean autumn epilimnion 0-5 m oxygen concentration
1993,11.17
1994,9.0
1995,9.25
1996,9.64
1997,9.45
1998,9.43
1999,9.28
2000,9.35
2001,9.65
2002,9.43
2003,9.0
2004,8.77
2005,10.18
2006,9.13
2007,9.46
2008,10.02
2009,8.86
2010,9.17
2011,9.48
2012,9.21
2013,8.97
2014,8.95
2015,9.1
2016,8.85
2017,9.05
2018,8.86
2019,8.83
2020,9.11
2021,9.33
2022,9.38
2023,9.38
