date,mean early autumn thermocline depth
1976,22.09
1977,11.96
1978,7.84
1979,11.71
1980,21.63
1981,9.82
1982,6.78
1983,9.1
1984,23.37
1985,12.25
1986,8.53
1987,8.31
1988,10.9
1989,7.33
1990,15.54
1991,11.83
1992,14.34
1993,19.47
1994,16.03
1995,7.35
1996,20.27
1997,8.18
1998,13.0
1999,16.05
2000,12.15
2021,9.09
