date,mean late autumn bottom oxygen concentration
1976,6.85
1977,8.5
1978,7.03
1979,7.54
1980,7.61
1981,8.54
1982,8.53
1983,6.69
1984,6.57
1985,6.84
1986,7.44
1987,8.63
1988,7.43
1989,7.06
1990,8.26
1991,7.96
1992,8.55
1993,9.17
1994,8.62
1995,8.78
1996,8.9
1997,8.43
1998,8.78
1999,8.56
2000,9.15
