date,mean early autumn bottom oxygen concentration
1976,6.02
1977,6.99
1978,7.81
1979,8.41
1980,7.71
1981,7.64
1982,8.63
1983,6.66
1984,7.54
1985,7.95
1986,7.49
1987,9.4
1988,7.56
1989,7.58
1990,7.9
1991,9.34
1992,8.93
1993,9.3
1994,9.28
1995,9.82
1996,9.69
1997,8.83
1998,9.02
1999,9.32
2000,9.29
2021,9.48
