date,mean spring surface temperature
1976,8.06
1977,7.11
1978,6.87
1979,7.24
1980,7.36
1981,7.58
1982,6.88
1983,7.23
1984,7.78
1985,5.9
1986,5.83
1987,7.24
1988,8.53
1989,7.62
1990,7.19
1991,7.45
1992,7.11
1993,8.3
1994,8.5
1995,7.53
1996,7.15
1997,8.08
1998,8.53
1999,8.06
2000,6.62
2003,8.8
2005,8.52
2006,7.57
2007,11.85
2017,11.86
2022,12.53
