date,mean winter Secchi depth
1977,9.54
1978,8.81
1979,12.61
1980,11.08
1981,12.92
1982,10.24
1983,9.28
1984,9.77
1985,10.66
1986,8.91
1987,14.11
1988,9.42
1989,16.5
1990,11.27
1991,11.21
1992,10.05
1993,10.01
1994,10.18
1995,12.16
1996,13.35
1997,12.24
1998,11.12
1999,10.96
2000,6.42
