date,mean summer Secchi depth
1976,3.9
1977,2.63
1978,2.77
1979,6.45
1980,2.6
1981,6.98
1982,4.46
1983,7.54
1984,4.49
1985,3.55
1986,6.94
1987,3.23
1988,3.8
1989,4.97
1990,6.41
1991,3.9
1992,7.32
1993,4.48
1994,6.3
1995,3.21
1996,5.32
1997,2.93
1998,6.79
1999,3.15
2000,4.3
2002,5.95
2003,7.46
2004,5.88
2005,4.46
2006,5.04
2007,5.66
2008,2.81
