date,mean autumn surface temperature
1976,12.61
1977,12.12
1978,13.08
1979,12.96
1980,12.11
1981,11.59
1982,12.82
1983,12.58
1984,11.99
1985,12.96
1986,14.3
1987,12.63
1988,13.11
1989,11.9
1990,12.46
1991,13.0
1992,12.42
1993,10.08
1994,13.25
1995,13.62
1996,11.99
1997,12.96
1998,12.26
1999,13.03
2000,12.45
2001,13.18
2002,12.26
2003,12.02
2004,12.95
2005,12.63
2006,13.4
2007,12.14
2021,13.94
