date,mean annual surface temperature
1976,11.43
1977,10.5
1978,10.73
1979,10.98
1980,10.16
1981,10.4
1982,11.08
1983,11.33
1984,10.71
1985,10.77
1986,11.8
1987,10.21
1988,11.41
1989,11.64
1990,11.48
1991,11.51
1992,11.66
1993,10.86
1994,12.15
1995,11.46
1996,11.34
1997,10.84
1998,11.98
1999,11.21
2000,11.22
