date,mean late summer Secchi depth
1976,4.57
1977,3.5
1978,3.32
1979,5.6
1980,5.17
1981,3.98
1982,5.94
1983,5.45
1984,5.26
1985,4.67
1986,5.79
1987,6.76
1988,3.93
1989,5.28
1990,7.27
1991,5.67
1992,5.67
1993,5.58
1994,5.0
1995,4.74
1996,4.73
1997,5.05
1998,7.01
1999,4.15
2000,4.95
2001,5.75
2002,3.78
2003,5.9
2004,5.44
2005,4.79
2006,6.25
2007,4.76
2021,6.13
