date,mean summer bottom temperature
1976,5.22
1977,5.61
1978,5.31
1979,5.26
1980,5.48
1981,4.59
1982,4.94
1983,5.3
1984,5.04
1985,4.88
1986,4.87
1987,4.76
1988,5.11
1989,5.3
1990,5.4
1991,5.4
1992,5.3
1993,5.32
1994,5.57
1995,5.71
1996,5.48
1997,5.5
1998,5.92
1999,5.64
2000,5.53
2008,5.67
