date,mean annual heat content
1976,2861825463.85
1977,2998527846.11
1978,2895676829.96
1979,2904039284.25
1980,2901591332.66
1981,2646157390.6
1982,2750743152.15
1983,2929203264.21
1984,2829169877.92
1985,2713751280.24
1986,2688041220.73
1987,2603458443.63
1988,2822160820.36
1989,2941733841.22
1990,2935115141.32
1991,2869322690.9
1992,2882739432.19
1993,2930340226.21
1994,3003683775.22
1995,3019564686.03
1996,2976927708.0
1997,2919445686.18
1998,3082331214.82
1999,2962465463.22
2000,2987799952.75
