date,mean autumn epilimnion 0-10 m oxygen concentration
1976,10.39
1977,10.92
1978,10.93
1979,10.06
1980,9.98
1981,10.1
1982,10.3
1983,10.02
1984,11.08
1985,10.21
1986,10.54
1987,10.34
1988,9.95
1989,10.29
1990,10.06
1991,10.22
1992,9.89
1993,10.39
1994,10.33
1995,10.41
1996,10.12
1997,10.16
1998,9.93
1999,10.03
2000,10.01
2021,10.59
