date,mean winter surface oxygen concentration
1976,10.43
1977,10.86
1978,10.38
1979,10.07
1980,10.2
1981,10.33
1982,10.67
1983,10.78
1984,10.51
1985,10.1
1986,10.72
1987,10.67
1988,10.85
1989,10.63
1990,10.18
1991,10.47
1992,10.61
1993,10.53
1994,10.88
1995,10.97
1996,10.66
1997,10.83
1998,10.48
1999,10.79
2000,10.69
