date,mean annual surface conductivity
1976,223.4
1977,234.86
1978,236.55
1979,236.42
1980,234.87
1981,236.13
1982,236.33
1983,238.52
1984,239.4
1985,240.52
1986,233.98
1987,226.7
1988,223.6
1989,228.24
1990,235.25
1991,242.22
1992,234.44
1993,237.46
1994,235.02
1995,231.91
1996,239.97
1997,242.41
1998,241.91
1999,233.34
2000,233.49
