date,mean winter Schmidt stability
1976,59.78
1977,-25.68
1978,30.91
1979,11.38
1980,25.96
1981,-1.6
1982,3.96
1983,96.79
1984,-0.66
1985,-0.16
1986,7.42
1987,-1.68
1988,207.54
1989,29.94
1990,6.49
1991,10.75
1992,-33.11
1993,-11.05
1994,-0.15
1995,12.72
1996,5.18
1997,5.96
1998,109.11
1999,1.52
2000,10.29
