date,mean winter bottom oxygen concentration
1976,9.68
1977,8.88
1978,10.29
1979,10.13
1980,9.92
1981,10.31
1982,10.45
1983,9.26
1984,10.46
1985,9.87
1986,9.68
1987,10.64
1988,9.19
1989,9.2
1990,9.43
1991,9.32
1992,10.56
1993,9.4
1994,10.72
1995,9.91
1996,10.66
1997,10.79
1998,9.44
1999,10.72
2000,10.68
