date,mean annual bottom temperature
1976,5.31
1977,5.63
1978,5.37
1979,5.26
1980,5.45
1981,4.73
1982,4.92
1983,5.26
1984,5.02
1985,4.82
1986,4.78
1987,4.75
1988,5.2
1989,5.39
1990,5.43
1991,5.39
1992,5.29
1993,5.44
1994,5.49
1995,5.75
1996,5.55
1997,5.52
1998,5.87
1999,5.61
2000,5.51
