date,minimum Secchi depth
1976,3.4
1977,2.4
1978,2.4
1979,3.0
1980,1.6
1981,2.0
1982,3.1
1983,3.6
1984,3.7
1985,3.2
1986,2.4
1987,2.5
1988,1.9
1989,1.8
1990,3.8
1991,2.8
1992,0.9
1993,2.3
1994,2.4
1995,1.1
1996,2.1
1997,1.7
1998,3.7
1999,1.7
2000,3.0
