date,mean spring bottom oxygen concentration
1976,10.08
1977,9.95
1978,10.89
1979,10.36
1980,10.19
1981,10.36
1982,10.6
1983,10.65
1984,10.5
1985,10.73
1986,10.86
1987,10.94
1988,10.88
1989,10.12
1990,10.34
1991,10.27
1992,10.66
1993,10.74
1994,11.05
1995,10.97
1996,11.02
1997,10.71
1998,10.5
1999,10.84
2000,10.87
2003,10.3
2005,10.65
2017,10.41
2022,10.51
