date,mean winter bottom temperature
1976,5.61
1977,5.46
1978,5.89
1979,5.0
1980,5.38
1981,4.99
1982,5.12
1983,5.31
1984,5.41
1985,4.78
1986,5.14
1987,4.81
1988,5.35
1989,5.38
1990,5.5
1991,5.49
1992,5.29
1993,5.78
1994,5.9
1995,5.7
1996,5.86
1997,5.41
1998,5.87
1999,5.54
2000,5.62
