date,mean spring Schmidt stability
1976,1129.89
1977,533.57
1978,806.59
1979,685.4
1980,605.01
1981,826.16
1982,548.2
1983,615.08
1984,520.48
1985,375.5
1986,251.46
1987,488.06
1988,791.5
1989,937.51
1990,706.51
1991,1064.61
1992,624.6
1993,896.22
1994,785.44
1995,655.51
1996,852.68
1997,1138.91
1998,733.98
1999,791.1
2000,651.87
2003,1837.35
2005,1936.59
2017,3303.44
2022,3358.66
