date,mean annual hypolimnetic density
1976,1000.1087
1977,1000.0999
1978,1000.1081
1979,1000.1071
1980,1000.1026
1981,1000.1199
1982,1000.115
1983,1000.1048
1984,1000.1114
1985,1000.122
1986,1000.1206
1987,1000.1113
1988,1000.1073
1989,1000.0976
1990,1000.1033
1991,1000.1117
1992,1000.1109
1993,1000.1048
1994,1000.1017
1995,1000.0925
1996,1000.1026
1997,1000.1063
1998,1000.0959
1999,1000.099
2000,1000.0983
