date,mean autumn bottom temperature
1976,5.31
1977,5.67
1978,5.34
1979,5.5
1980,5.66
1981,4.91
1982,5.09
1983,5.39
1984,5.17
1985,4.83
1986,4.89
1987,5.0
1988,5.2
1989,5.43
1990,5.5
1991,5.51
1992,5.39
1993,5.49
1994,5.39
1995,5.81
1996,5.59
1997,5.08
1998,5.99
1999,5.61
2000,5.49
2021,6.08
