date,mean winter hypolimnetic density
1976,1000.1066
1977,1000.1166
1978,1000.1056
1979,1000.1269
1980,1000.1189
1981,1000.122
1982,1000.1238
1983,1000.1096
1984,1000.1168
1985,1000.132
1986,1000.124
1987,1000.12
1988,1000.1041
1989,1000.1119
1990,1000.11
1991,1000.1138
1992,1000.1192
1993,1000.1096
1994,1000.1043
1995,1000.1068
1996,1000.1012
1997,1000.1196
1998,1000.0979
1999,1000.12
2000,1000.1056
