date,mean annual Secchi depth
1976,7.47
1977,6.11
1978,6.79
1979,7.09
1980,6.68
1981,6.79
1982,7.28
1983,6.6
1984,7.46
1985,7.82
1986,8.14
1987,8.32
1988,7.1
1989,8.28
1990,7.89
1991,7.41
1992,6.93
1993,7.51
1994,8.37
1995,6.99
1996,8.0
1997,6.77
1998,7.7
1999,6.62
2000,6.63
