date,minimum bottom oxygen concentration
1976,5.25
1977,6.75
1978,6.9
1979,6.95
1980,7.5
1981,7.35
1982,8.2
1983,6.25
1984,6.25
1985,6.2
1986,7.0
1987,8.25
1988,6.9
1989,6.45
1990,7.75
1991,7.2
1992,8.4
1993,8.9
1994,8.6
1995,8.75
1996,8.8
1997,8.3
1998,8.6
1999,7.75
2000,9.1
