date,mean summer surface oxygen concentration
1976,11.7
1977,10.69
1978,11.1
1979,11.06
1980,10.71
1981,10.18
1982,9.96
1983,10.56
1984,10.32
1985,10.46
1986,10.23
1987,10.16
1988,10.57
1989,10.2
1990,9.82
1991,9.82
1992,9.74
1993,9.75
1994,9.65
1995,10.2
1996,9.75
1997,10.05
1998,9.56
1999,10.01
2000,9.91
2008,9.91
