date,mean winter epilimnion 0-10 m oxygen concentration
1976,10.46
1977,10.31
1978,10.52
1979,10.07
1980,10.16
1981,10.33
1982,10.66
1983,10.82
1984,10.53
1985,10.16
1986,10.71
1987,10.68
1988,10.76
1989,10.62
1990,10.16
1991,10.49
1992,10.63
1993,10.56
1994,10.83
1995,10.95
1996,10.66
1997,10.79
1998,10.71
1999,10.8
2000,10.73
