date,mean summer thermocline depth
1976,8.21
1977,11.03
1978,13.42
1979,6.78
1980,11.36
1981,17.01
1982,5.29
1983,4.53
1984,9.7
1985,6.46
1986,6.58
1987,6.65
1988,6.73
1989,7.5
1990,6.96
1991,8.88
1992,5.83
1993,6.4
1994,6.79
1995,6.31
1996,5.03
1997,7.0
1998,5.73
1999,5.6
2000,10.52
2008,12.9
