date,mean autumn bottom oxygen concentration
1976,5.52
1977,7.0
1978,7.06
1979,7.9
1980,7.72
1981,8.72
1982,8.54
1983,7.27
1984,7.49
1985,6.62
1986,7.58
1987,9.12
1988,7.05
1989,6.71
1990,7.82
1991,7.88
1992,8.69
1993,9.27
1994,8.73
1995,8.95
1996,9.02
1997,8.81
1998,8.71
1999,9.05
2000,9.2
2021,9.3
