date,minimum bottom temperature
1976,5.13
1977,5.3
1978,5.2
1979,5.0
1980,5.2
1981,4.4
1982,4.6
1983,5.0
1984,4.8
1985,4.63
1986,4.3
1987,4.3
1988,5.1
1989,5.23
1990,5.3
1991,5.0
1992,4.9
1993,5.3
1994,5.23
1995,5.6
1996,5.2
1997,4.83
1998,5.6
1999,4.96
2000,5.27
