date,mean summer surface temperature
1976,19.33
1977,16.05
1978,14.71
1979,15.57
1980,12.61
1981,15.09
1982,18.15
1983,20.31
1984,15.89
1985,18.19
1986,17.32
1987,13.31
1988,16.7
1989,17.59
1990,18.31
1991,18.86
1992,18.23
1993,16.73
1994,21.52
1995,18.57
1996,17.37
1997,13.27
1998,19.62
1999,16.13
2000,17.15
2001,17.04
2002,19.23
2003,21.56
2004,16.34
2005,15.27
2006,14.97
2007,17.46
2008,15.48
