date,mean autumn hypolimnetic oxygen concentration
1976,9.14
1977,8.84
1978,9.42
1979,9.33
1980,9.23
1981,9.14
1982,9.81
1983,9.8
1984,9.63
1985,9.76
1986,10.24
1987,10.09
1988,9.85
1989,9.46
1990,9.62
1991,9.36
1992,9.59
1993,10.19
1994,10.27
1995,10.14
1996,10.06
1997,9.88
1998,9.76
1999,10.24
2000,9.99
2021,10.26
