date,mean summer bottom oxygen concentration
1976,7.34
1977,7.93
1978,9.42
1979,9.37
1980,9.32
1981,8.94
1982,9.01
1983,7.79
1984,8.75
1985,9.18
1986,9.42
1987,9.56
1988,9.07
1989,7.79
1990,8.28
1991,9.57
1992,9.26
1993,9.59
1994,10.17
1995,9.57
1996,10.24
1997,9.73
1998,9.87
1999,10.03
2000,9.77
2008,9.34
