date,mean annual bottom conductivity
1976,249.16
1977,258.33
1978,255.99
1979,256.06
1980,256.03
1981,256.07
1982,255.47
1983,258.47
1984,255.43
1985,259.85
1986,256.47
1987,240.1
1988,245.14
1989,243.09
1990,246.39
1991,254.18
1992,253.43
1993,254.39
1994,251.89
1995,249.66
1996,251.95
1997,260.38
1998,257.33
1999,255.97
2000,251.39
