date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,1248.75,4649.622,11532.963,1960.686,8217.584,27609.605
1991,1248.75,4580.534,11525.804,1947.358,8115.631,27418.076
1992,1248.75,4511.446,11518.644,1934.029,8013.678,27226.547
1993,1248.75,4442.357,11511.484,1920.7,7911.724,27035.014
1994,1248.75,4373.269,11504.325,1907.372,7809.77,26843.486
1995,1248.75,4304.181,11497.166,1894.043,7707.817,26651.957
1996,1248.75,4235.093,11490.006,1880.714,7605.864,26460.428
1997,1248.75,4166.004,11482.847,1867.386,7503.91,26268.898
1998,1248.75,4096.917,11475.688,1854.057,7401.958,26077.367
1999,1248.75,4027.828,11468.527,1840.728,7300.004,25885.838
2000,1248.75,3958.74,11461.368,1827.4,7198.05,25694.309
2001,1248.75,4001.018,10997.572,1818.182,6805.171,24870.693
2002,1248.75,4043.297,10533.776,1808.964,6412.29,24047.078
2003,1248.75,4085.575,10069.981,1799.746,6019.411,23223.46
2004,1248.75,4127.854,9606.186,1790.528,5626.53,22399.846
2005,1248.75,4170.132,9142.39,1781.31,5233.65,21576.23
2006,1248.75,4133.115,8951.031,1769.374,5266.117,21368.385
2007,1248.75,4096.098,8759.673,1757.437,5298.583,21160.54
2008,1248.75,4059.08,8568.314,1745.5,5331.049,20952.695
2009,1248.75,4022.064,8376.956,1733.564,5363.516,20744.85
2010,1248.75,3985.046,8185.598,1721.627,5395.982,20537.004
2011,1248.841,4082.04,7862.706,1674.85,5141.823,20010.262
2012,1248.932,4179.033,7539.816,1628.073,4887.665,19483.52
2013,1249.023,4276.026,7216.925,1581.296,4633.506,18956.777
2014,1249.114,4373.02,6894.034,1534.519,4379.348,18430.035
2015,1249.205,4470.013,6571.143,1487.742,4125.19,17903.293
2016,1249.068,4644.94,6663.384,1459.968,3986.312,18003.672
2017,1248.931,4819.866,6755.624,1432.195,3847.435,18104.05
2018,1248.794,4994.792,6847.865,1404.422,3708.558,18204.43
2019,1248.657,5169.718,6940.105,1376.648,3569.681,18304.809
2020,1248.52,5344.644,7032.346,1348.874,3430.804,18405.188
