date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,1294.668,4162.716,15496.275,1917.762,11865.657,34737.08
1991,1294.668,4111.932,15280.389,1899.722,11572.484,34159.195
1992,1294.668,4061.148,15064.502,1881.682,11279.312,33581.312
1993,1294.668,4010.364,14848.616,1863.642,10986.14,33003.43
1994,1294.668,3959.58,14632.73,1845.602,10692.967,32425.549
1995,1294.668,3908.796,14416.843,1827.563,10399.795,31847.668
1996,1294.668,3858.012,14200.958,1809.523,10106.622,31269.783
1997,1294.668,3807.228,13985.072,1791.483,9813.449,30691.9
1998,1294.668,3756.444,13769.186,1773.443,9520.276,30114.02
1999,1294.668,3705.66,13553.299,1755.403,9227.104,29536.137
2000,1294.668,3654.876,13337.413,1737.363,8933.932,28958.252
2001,1294.668,3681.764,13246.621,1730.984,8795.299,28749.334
2002,1294.668,3708.651,13155.828,1724.604,8656.666,28540.42
2003,1294.668,3735.538,13065.036,1718.225,8518.033,28331.5
2004,1294.668,3762.426,12974.243,1711.846,8379.4,28122.586
2005,1294.668,3789.313,12883.451,1705.466,8240.768,27913.668
2006,1294.668,3761.109,12661.681,1694.729,8183.108,27595.297
2007,1294.668,3732.905,12439.91,1683.992,8125.45,27276.924
2008,1294.668,3704.701,12218.14,1673.254,8067.79,26958.553
2009,1294.668,3676.496,11996.369,1662.517,8010.131,26640.182
2010,1294.668,3648.292,11774.599,1651.779,7952.472,26321.81
2011,1294.668,3567.423,11623.018,1609.255,7764.715,25859.078
2012,1294.668,3486.553,11471.437,1566.731,7576.958,25396.346
2013,1294.668,3405.683,11319.856,1524.206,7389.201,24933.615
2014,1294.668,3324.813,11168.275,1481.682,7201.444,24470.883
2015,1294.668,3243.943,11016.694,1439.158,7013.687,24008.15
2016,1294.668,3487.515,11048.093,1409.194,6713.008,23952.479
2017,1294.668,3731.088,11079.491,1379.231,6412.329,23896.807
2018,1294.668,3974.661,11110.891,1349.268,6111.65,23841.137
2019,1294.668,4218.233,11142.289,1319.305,5810.971,23785.465
2020,1294.668,4461.806,11173.688,1289.341,5510.292,23729.793
