date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,5183.543,14458.453,44884.523,9843.158,33617.69,107991.664
1991,5183.543,14127.656,44019.418,9815.969,32679.594,105830.055
1992,5183.543,13796.857,43154.312,9788.78,31741.498,103668.44
1993,5183.543,13466.061,42289.21,9761.592,30803.395,101506.81
1994,5183.543,13135.264,41424.105,9734.402,29865.299,99345.195
1995,5183.543,12804.467,40559.0,9707.213,28927.2,97183.58
1996,5183.543,12473.67,39693.895,9680.024,27989.104,95021.96
1997,5183.543,12142.872,38828.79,9652.836,27051.004,92860.34
1998,5183.543,11812.075,37963.688,9625.646,26112.906,90698.72
1999,5183.543,11481.277,37098.582,9598.457,25174.809,88537.1
2000,5183.543,11150.48,36233.477,9571.269,24236.71,86375.484
2001,5183.543,11166.456,35485.984,9557.53,23534.229,84927.74
2002,5183.543,11182.431,34738.49,9543.792,22831.746,83480.0
2003,5183.543,11198.406,33990.996,9530.055,22129.262,82032.266
2004,5183.543,11214.381,33243.5,9516.316,21426.78,80584.52
2005,5183.543,11230.356,32496.006,9502.578,20724.297,79136.78
2006,5183.543,11173.368,32043.945,9418.125,20658.195,78477.17
2007,5183.543,11116.381,31591.88,9333.672,20592.092,77817.57
2008,5183.543,11059.393,31139.818,9249.219,20525.99,77157.96
2009,5183.543,11002.405,30687.756,9164.766,20459.887,76498.36
2010,5183.543,10945.417,30235.693,9080.312,20393.785,75838.75
2011,5183.634,10964.681,29677.19,8809.976,19806.688,74442.164
2012,5183.726,10983.944,29118.688,8539.639,19219.59,73045.586
2013,5183.817,11003.207,28560.186,8269.302,18632.492,71649.0
2014,5183.909,11022.471,28001.684,7998.965,18045.395,70252.42
2015,5184.0,11041.734,27443.182,7728.628,17458.297,68855.836
2016,5183.919,11566.185,27971.965,7789.687,16930.066,69441.82
2017,5183.838,12090.635,28500.748,7850.747,16401.836,70027.805
2018,5183.757,12615.084,29029.535,7911.806,15873.606,70613.79
2019,5183.676,13139.534,29558.32,7972.865,15345.376,71199.77
2020,5183.595,13663.984,30087.104,8033.924,14817.146,71785.76
