date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,1444.431,4122.971,16782.426,2155.693,13258.066,37763.586
1991,1444.431,4074.73,16597.938,2143.029,12963.513,37223.64
1992,1444.431,4026.488,16413.451,2130.364,12668.958,36683.69
1993,1444.431,3978.248,16228.963,2117.699,12374.404,36143.742
1994,1444.431,3930.006,16044.476,2105.034,12079.85,35603.797
1995,1444.431,3881.765,15859.989,2092.369,11785.296,35063.85
1996,1444.431,3833.524,15675.501,2079.704,11490.742,34523.902
1997,1444.431,3785.283,15491.015,2067.039,11196.188,33983.953
1998,1444.431,3737.042,15306.524,2054.374,10901.634,33444.008
1999,1444.431,3688.801,15122.038,2041.709,10607.079,32904.062
2000,1444.431,3640.56,14937.551,2029.044,10312.525,32364.111
2001,1444.431,3633.891,14618.24,2019.733,10041.891,31758.186
2002,1444.431,3627.222,14298.928,2010.422,9771.256,31152.26
2003,1444.431,3620.552,13979.617,2001.11,9500.62,30546.332
2004,1444.431,3613.883,13660.308,1991.799,9229.985,29940.406
2005,1444.431,3607.214,13340.996,1982.488,8959.351,29334.48
2006,1444.431,3573.353,13228.952,1954.772,8905.916,29107.424
2007,1444.431,3539.492,13116.908,1927.056,8852.481,28880.367
2008,1444.431,3505.632,13004.865,1899.341,8799.047,28653.312
2009,1444.431,3471.771,12892.821,1871.625,8745.612,28426.26
2010,1444.431,3437.91,12780.777,1843.909,8692.178,28199.203
2011,1444.431,3416.115,12742.636,1795.441,8562.664,27961.287
2012,1444.431,3394.32,12704.494,1746.973,8433.149,27723.367
2013,1444.431,3372.526,12666.352,1698.505,8303.636,27485.45
2014,1444.431,3350.731,12628.21,1650.038,8174.123,27247.533
2015,1444.431,3328.936,12590.068,1601.57,8044.608,27009.613
2016,1444.431,3527.7,12589.568,1559.247,7683.978,26806.195
2017,1444.431,3726.463,12589.068,1516.924,7323.349,26602.777
2018,1444.431,3925.227,12588.568,1474.601,6962.72,26399.357
2019,1444.431,4123.991,12588.068,1432.278,6602.09,26195.94
2020,1444.431,4322.754,12587.568,1389.954,6241.461,25992.521
