date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,812.123,4845.965,8418.754,1488.175,6536.198,22101.213
1991,812.123,4771.942,8327.354,1477.434,6395.665,21784.518
1992,812.123,4697.919,8235.955,1466.692,6255.133,21467.82
1993,812.123,4623.896,8144.556,1455.95,6114.6,21151.125
1994,812.123,4549.874,8053.156,1445.209,5974.068,20834.428
1995,812.123,4475.851,7961.757,1434.467,5833.535,20517.732
1996,812.123,4401.828,7870.357,1423.726,5693.002,20201.037
1997,812.123,4327.805,7778.958,1412.984,5552.47,19884.34
1998,812.123,4253.782,7687.559,1402.242,5411.938,19567.645
1999,812.123,4179.76,7596.16,1391.501,5271.405,19250.947
2000,812.123,4105.737,7504.76,1380.759,5130.873,18934.252
2001,812.123,4130.943,7497.01,1375.139,5102.606,18917.82
2002,812.123,4156.149,7489.261,1369.519,5074.339,18901.39
2003,812.123,4181.355,7481.511,1363.899,5046.072,18884.959
2004,812.123,4206.56,7473.762,1358.278,5017.806,18868.53
2005,812.123,4231.767,7466.012,1352.658,4989.539,18852.098
2006,812.123,4178.146,7193.782,1343.4,4826.449,18353.9
2007,812.123,4124.526,6921.554,1334.142,4663.36,17855.703
2008,812.123,4070.906,6649.325,1324.883,4500.27,17357.506
2009,812.123,4017.286,6377.096,1315.625,4337.181,16859.309
2010,812.123,3963.666,6104.867,1306.366,4174.091,16361.112
2011,812.123,3906.534,6108.759,1272.227,4126.025,16225.667
2012,812.123,3849.403,6112.652,1238.088,4077.958,16090.224
2013,812.123,3792.272,6116.545,1203.948,4029.892,15954.781
2014,812.123,3735.14,6120.438,1169.809,3981.826,15819.338
2015,812.123,3678.008,6124.331,1135.67,3933.76,15683.893
2016,812.123,4012.535,6096.802,1113.825,3746.904,15782.188
2017,812.123,4347.062,6069.273,1091.98,3560.048,15880.488
2018,812.123,4681.588,6041.745,1070.136,3373.192,15978.784
2019,812.123,5016.115,6014.216,1048.291,3186.336,16077.082
2020,812.123,5350.641,5986.688,1026.446,2999.48,16175.379
