date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,52.7,161.676,342.801,140.839,245.51,943.525
1991,52.7,159.416,342.545,138.292,242.562,935.516
1992,52.7,157.158,342.289,135.745,239.615,927.506
1993,52.7,154.898,342.033,133.198,236.668,919.496
1994,52.7,152.639,341.777,130.65,233.72,911.486
1995,52.7,150.38,341.52,128.103,230.773,903.477
1996,52.7,148.121,341.264,125.556,227.826,895.467
1997,52.7,145.862,341.008,123.009,224.878,887.457
1998,52.7,143.603,340.752,120.461,221.931,879.448
1999,52.7,141.344,340.496,117.914,218.984,871.438
2000,52.7,139.085,340.24,115.367,216.036,863.428
2001,52.7,138.288,328.402,115.582,206.504,841.475
2002,52.7,137.49,316.564,115.798,196.971,819.522
2003,52.7,136.692,304.726,116.013,187.438,797.57
2004,52.7,135.895,292.888,116.229,177.905,775.617
2005,52.7,135.097,281.05,116.444,168.373,753.664
2006,52.7,133.684,281.031,115.145,172.393,754.953
2007,52.7,132.271,281.012,113.846,176.412,756.242
2008,52.7,130.858,280.993,112.547,180.432,757.531
2009,52.7,129.445,280.974,111.248,184.452,758.819
2010,52.7,128.032,280.956,109.949,188.472,760.108
2011,52.7,131.528,275.53,107.389,183.182,750.328
2012,52.7,135.023,270.104,104.828,177.892,740.547
2013,52.7,138.519,264.678,102.268,172.601,730.767
2014,52.7,142.015,259.253,99.708,167.311,720.986
2015,52.7,145.511,253.827,97.147,162.021,711.206
2016,52.851,152.983,256.018,95.01,156.209,713.071
2017,53.003,160.454,258.209,92.872,150.397,714.936
2018,53.155,167.926,260.4,90.734,144.586,716.801
2019,53.306,175.398,262.592,88.596,138.774,718.666
2020,53.458,182.87,264.783,86.459,132.962,720.531
