date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,9239.065,25604.447,81809.234,18970.736,58771.48,194399.25
1991,9239.065,25134.785,80010.07,18876.598,57046.137,190310.52
1992,9239.065,24665.125,78210.91,18782.459,55320.79,186221.77
1993,9239.065,24195.463,76411.74,18688.32,53595.438,182133.03
1994,9239.065,23725.8,74612.58,18594.182,51870.09,178044.28
1995,9239.065,23256.14,72813.414,18500.043,50144.742,173955.55
1996,9239.065,22786.479,71014.25,18405.906,48419.395,169866.81
1997,9239.065,22316.816,69215.086,18311.768,46694.047,165778.06
1998,9239.065,21847.154,67415.92,18217.629,44968.695,161689.33
1999,9239.065,21377.494,65616.76,18123.49,43243.348,157600.58
2000,9239.065,20907.832,63817.594,18029.352,41518.0,153511.84
2001,9239.065,20999.809,62872.562,18026.861,40404.71,151543.02
2002,9239.065,21091.787,61927.53,18024.37,39291.42,149574.17
2003,9239.065,21183.764,60982.504,18021.879,38178.133,147605.34
2004,9239.065,21275.742,60037.477,18019.387,37064.844,145636.5
2005,9239.065,21367.719,59092.45,18016.896,35951.555,143667.67
2006,9239.065,21251.703,57994.79,17856.72,35925.766,142268.03
2007,9239.065,21135.686,56897.133,17696.545,35899.977,140868.4
2008,9239.065,21019.67,55799.477,17536.367,35874.188,139468.77
2009,9239.065,20903.652,54701.816,17376.191,35848.4,138069.14
2010,9239.065,20787.637,53604.164,17216.016,35822.61,136669.5
2011,9239.152,20684.86,52518.32,16711.314,34754.94,133908.6
2012,9239.24,20582.084,51432.48,16206.616,33687.273,131147.69
2013,9239.327,20479.307,50346.637,15701.914,32619.604,128386.79
2014,9239.415,20376.531,49260.797,15197.215,31551.936,125625.89
2015,9239.502,20273.754,48174.953,14692.514,30484.27,122864.984
2016,9239.718,21338.143,49207.18,14712.33,29618.883,124120.6
2017,9239.933,22402.533,50239.406,14732.147,28753.498,125376.23
2018,9240.148,23466.922,51271.633,14751.963,27888.111,126631.84
2019,9240.363,24531.312,52303.86,14771.779,27022.727,127887.46
2020,9240.579,25595.701,53336.086,14791.595,26157.342,129143.09
